Name X Y BlueF GreenF RedF Size RadialVelocity
DG0750 -7.4865 18.9834 6.950e-15 5.570e-15 2.250e-15 339.3999 241.43
DG0751 -7.7679 18.5750 5.475e-15 4.688e-15 2.017e-15 345.8788 242.2
DG0752 -7.4792 18.4614 5.811e-15 4.789e-15 2.111e-15 309.0584 242.23
DG0753 -8.1791 18.3238 8.272e-15 6.833e-15 2.531e-15 338.9539 242.09
DG0772 13.9797 -31.6950 6.571e-15 5.285e-15 1.757e-15 613.6582 336.56
DG0773 15.3042 -32.4736 2.660e-15 2.230e-15 9.353e-16 201.7534 339.59
DG0774 13.4073 -33.0613 2.289e-15 1.803e-15 7.694e-16 198.2555 335.89
DG0775 13.4673 -30.0569 2.921e-15 2.488e-15 1.022e-15 266.7371 340.15
DG0776 15.2981 -32.8256 1.928e-15 1.738e-15 7.186e-16 395.8925 334.85
DG0777 15.5969 -33.3161 2.461e-15 2.125e-15 9.091e-16 188.237 341.47
DG0778 14.7866 -31.1458 8.085e-26 1.999e-27 9.348e-33 237.3733 340.56
DG0779 14.7770 -32.0515 2.131e-15 1.795e-15 7.220e-16 373.6104 339.58
DG0780 14.7701 -29.4495 8.212e-26 2.135e-27 1.038e-32 217.7445 339.24
DG0781 16.3926 -31.6687 1.758e-15 1.485e-15 6.456e-16 240.1985 337.47
DG0782 14.5901 -32.9208 1.728e-15 1.583e-15 6.909e-16 312.895 338.3
DG0783 13.5813 -30.0671 7.987e-26 1.927e-27 9.098e-33 216.1034 332.67
DG0784 13.6715 -34.4536 1.855e-15 1.431e-15 6.241e-16 246.9072 336.71
DG0785 14.3182 -29.1085 2.576e-15 2.123e-15 8.255e-16 233.3089 341.85
DG0786 12.7035 -33.6795 9.178e-26 2.067e-27 8.592e-33 294.5525 337.22
DG0787 14.5462 -29.5185 8.737e-26 1.943e-27 9.336e-33 241.808 337.8
DG0788 11.9471 -29.9167 2.660e-15 2.018e-15 7.998e-16 206.0724 336.18
DG0789 13.6321 -30.9030 2.670e-15 2.034e-15 9.584e-16 244.0425 337.18
DG0790 14.0498 -32.0625 2.599e-15 2.023e-15 9.749e-16 200.473 340.02
DG0791 14.6639 -32.4708 2.012e-15 1.660e-15 6.626e-16 213.5403 340.57
DG0792 11.4145 -31.0639 3.746e-15 2.949e-15 1.082e-15 252.3819 339.29
DG0793 12.8162 -32.6542 2.866e-15 2.310e-15 1.138e-15 220.1876 341.13
DG0794 14.5640 -30.5252 2.120e-15 1.610e-15 7.218e-16 422.9319 340.74
DG0795 12.9754 -29.0257 2.921e-15 2.485e-15 1.012e-15 257.8022 333.93
DG0796 11.9970 -32.8644 7.837e-26 1.875e-27 1.074e-32 283.6125 338.45
DG0797 13.0587 -32.4249 3.019e-15 2.618e-15 1.057e-15 234.9967 338.01
DG0798 13.0495 -32.1128 7.846e-26 2.043e-27 9.169e-33 300.9057 335.81
DG0799 12.5781 -33.5274 3.669e-15 2.661e-15 9.615e-16 210.8008 340.08
DG0800 13.0447 -30.4556 8.059e-26 2.133e-27 9.251e-33 224.0161 340.04
DG0801 15.6387 -30.6168 2.863e-15 1.989e-15 8.917e-16 219.2789 339.02
DG0802 13.2970 -31.1759 2.011e-15 1.538e-15 7.395e-16 368.9511 341.75
DG0852 -8.6528 -24.9610 3.118e-15 2.485e-15 1.086e-15 454.749 282.21
DG0853 -8.6752 -25.3065 1.173e-25 2.912e-27 1.446e-32 455.0214 282.72
DG0854 -8.6262 -24.1792 1.152e-25 2.752e-27 1.296e-32 356.8456 282.91
DG0855 -8.5251 -24.1898 4.355e-15 3.619e-15 1.455e-15 249.6865 281.53
DG0856 -8.4781 -25.4198 4.860e-15 4.060e-15 1.718e-15 287.7126 282.1
DG0857 -25.4084 15.1250 8.062e-15 6.278e-15 2.888e-15 567.6387 158.14
DG0871 3.3419 -10.7184 2.394e-16 1.866e-16 8.333e-17 214.2611 1021.4
