Name Equatorial Polar BlueF GreenF RedF Parallax RadialVelocity Variable?
S331927 173.6273 123.9922 2.9209999999999996e-22 7.463999999999999e-22 3.84e-21 0.0 135.93 0.0
S331928 173.7235 124.0882 6.763999999999999e-22 1.459e-21 5.378e-21 0.0 132.61 0.0
S331929 173.7252 124.0749 1.913e-12 1.578e-12 7.696e-13 0.0 132.76 1.0
S331930 173.6851 124.0656 4.585e-19 5.699e-19 6.371e-19 0.0 132.62 0.0
S331931 173.641 124.0301 6.264e-21 1.1760000000000001e-20 3.1710000000000004e-20 0.0 134.72 0.0
S331932 173.7148 124.0937 8.954e-21 1.615e-20 3.932e-20 0.0 132.49 0.0
S331933 173.6497 124.0314 4.393e-23 1.2269999999999998e-22 7.501999999999999e-22 0.0 134.93 0.0
S331934 173.6629 124.0099 5.798e-17 4.722e-17 2.203e-17 0.0 134.88 0.0
S331935 173.6386 124.123 2.126e-19 2.936e-19 4.041e-19 0.0 132.78 0.0
S331936 173.6473 124.0277 6.2830000000000004e-21 1.1550000000000001e-20 2.9720000000000003e-20 0.0 135.32 0.0
S331937 173.5689 123.8581 3.069e-21 2.112e-21 7.278999999999999e-22 0.0 136.31 0.0
S331938 173.6306 124.02 3.533e-22 8.204999999999999e-22 3.493e-21 0.0 135.42 0.0
S331939 173.6389 124.0099 3.167e-20 5.0970000000000004e-20 1.004e-19 0.0 135.56 0.0
S331940 173.6517 124.0212 9.315e-17 2.364e-16 1.14e-15 0.0 134.96 1.0
S331941 173.6516 124.0291 1.233e-22 3.081e-22 1.5470000000000001e-21 0.0 135.29 0.0
S331942 173.6244 124.0064 2.829e-19 3.631e-19 4.28e-19 0.0 135.73 0.0
S331943 173.6551 124.0402 4.251e-21 8.586e-21 2.588e-20 0.0 132.81 0.0
S331944 173.6473 124.033 2.433e-19 3.125e-19 3.595e-19 0.0 134.93 0.0
S331945 173.7261 124.1381 1.2119999999999998e-22 3.2539999999999995e-22 1.791e-21 0.0 131.99 0.0
S331946 173.6689 124.0238 2.879e-21 1.978e-21 7.045999999999999e-22 0.0 134.25 0.0
S331947 173.6626 124.0465 2.781e-17 2.522e-17 1.566e-17 0.0 132.88 0.0
S331948 173.6339 124.016 5.975e-23 1.5949999999999999e-22 9.031e-22 0.0 135.56 0.0
S331949 173.6326 124.009 3.059e-19 3.742e-19 4.051e-19 0.0 135.59 0.0
S331950 173.6287 124.0884 4.29e-21 8.383e-21 2.4990000000000003e-20 0.0 133.27 0.0
S331951 173.6582 124.0326 5.676e-18 5.566e-18 3.847e-18 0.0 134.08 0.0
S331952 173.6344 124.0254 2.8899999999999995e-22 6.711e-22 2.774e-21 0.001 135.13 0.0
S331953 173.6287 123.9538 5.648e-17 9e-17 1.754e-16 0.0 135.94 0.0
S331954 173.6128 124.0185 6.972e-24 2.182e-23 1.6459999999999998e-22 0.0 135.3 0.0
S331955 173.6085 123.9693 3.509e-18 3.777e-18 3.177e-18 0.0 136.11 0.0
S331956 173.6255 124.1044 5.648e-21 9.768e-21 2.2420000000000002e-20 0.0 133.24 0.0
S331957 173.6556 124.0349 5.82e-18 5.831e-18 4.15e-18 0.0 133.55 0.0
S331958 173.6694 124.0424 1.9590000000000002e-20 3.162e-20 6.185000000000001e-20 0.0 133.44 0.0
S331959 173.6816 124.0493 5.403999999999999e-23 1.4279999999999999e-22 7.705e-22 0.0 133.15 0.0
S331960 173.6363 124.0196 3.489e-23 9.942999999999999e-23 6.288999999999999e-22 0.0 135.38 0.0
S331961 173.6312 124.0253 5.047e-18 5.147e-18 3.891e-18 0.0 135.13 0.0
S331962 173.699 124.0778 1.359e-19 1.75e-19 2.132e-19 0.0 132.6 0.0
S331963 173.5687 124.0215 5.556999999999999e-22 1.1340000000000001e-21 3.76e-21 0.001 134.96 0.0
S331964 173.617 124.0064 6.021e-23 1.7429999999999998e-22 1.195e-21 0.0 135.68 0.0
S331965 173.6467 124.0346 4.2139999999999996e-22 8.979999999999998e-22 3.117e-21 0.0 135.11 0.0
S331966 173.6634 123.9789 5.922e-26 3.1320000000000003e-25 7.279e-24 0.0 135.15 0.0
S331967 173.6432 124.029 7.54e-18 7.583e-18 5.344e-18 0.0 134.89 0.0
S331968 173.633 124.0431 2.478e-22 5.482e-22 2.051e-21 0.0 134.14 0.0
S331969 173.5906 124.0129 1.043e-22 2.761e-22 1.485e-21 0.0 135.32 0.0
S331970 173.7227 124.1222 3.1120000000000002e-21 2.135e-21 7.315999999999999e-22 0.0 132.11 0.0
S331971 173.634 124.0353 8.577e-22 1.982e-21 8.367e-21 0.0 134.36 0.0
S331972 173.65 124.0213 2.883e-23 7.671e-23 4.376e-22 0.0 134.99 0.0
S331973 173.6878 124.021 3.055e-21 2.123e-21 7.425e-22 0.0 134.13 0.0
S331974 173.5795 123.9844 1.851e-19 2.452e-19 3.138e-19 0.0 135.58 0.0
S331975 173.6508 124.0362 1.284e-16 1.053e-16 5.188e-17 0.0 133.32 0.0
S331976 173.6566 124.0411 8.198e-18 8.271e-18 5.996e-18 0.0 133.23 0.0
S331977 173.6243 124.0641 1.622e-19 2.14e-19 2.838e-19 0.0 133.57 0.0
S331978 173.6289 124.0377 1.9760000000000002e-20 3.2480000000000003e-20 6.812000000000001e-20 0.0 134.44 0.0
S331979 173.7356 124.0447 2.025e-17 3.454e-17 7.398e-17 0.0 133.41 0.0
S331980 173.6445 124.0306 6.9459999999999995e-22 1.4220000000000001e-21 4.492e-21 0.0 135.18 0.0
S331981 173.6479 124.0271 1.062e-22 3.067e-22 2.044e-21 0.0 135.08 0.0
S331982 173.6397 124.0359 3.8429999999999997e-22 9.622e-22 4.649e-21 0.0 134.78 0.0
S331983 173.6565 124.0337 3.814e-18 4.052e-18 3.35e-18 0.001 133.59 0.0
