Name X Y BlueF GreenF RedF Size RadialVelocity
DG0511 -17.5475 -11.8786 5.378e-26 1.466e-27 7.434e-33 118.8003 933.53
DG0512 -17.4004 -12.5213 4.377e-16 3.604e-16 1.486e-16 83.6708 932.76
DG0513 -17.4154 -12.1187 5.244e-16 3.753e-16 1.747e-16 91.334 929.03
DG0514 -17.8678 -12.5504 4.172e-16 3.276e-16 1.505e-16 93.0733 932.62
DG0515 -17.2756 -12.1340 3.370e-16 2.838e-16 1.261e-16 171.5314 931.18
DG0516 -17.5098 -12.3977 2.986e-16 2.613e-16 1.154e-16 174.2324 930.5
DG0517 -17.4699 -12.5970 5.317e-26 1.442e-27 6.312e-33 101.6556 928.92
DG0518 -17.3907 -12.4248 3.909e-16 3.828e-16 1.734e-16 95.0643 929.82
DG0554 -39.1940 33.7692 7.510e-16 5.645e-16 2.698e-16 230.1433 551.86
DG0555 -38.7355 33.7167 1.198e-15 9.663e-16 4.494e-16 183.9277 550.96
DG0556 -39.3614 33.4672 1.041e-15 9.341e-16 3.499e-16 121.2001 550.22
DG0557 -39.2885 33.8169 1.150e-15 9.598e-16 4.144e-16 144.2509 549.87
DG0558 -39.5299 33.8809 1.173e-15 8.911e-16 4.211e-16 134.0789 551.31
DG0573 -32.3557 -10.2689 3.713e-16 2.845e-16 1.018e-16 86.3725 1712.39
DG0574 -32.5528 -10.3776 9.360e-17 7.354e-17 3.315e-17 64.3613 1716.9
DG0575 -32.7290 -10.3466 1.386e-16 1.012e-16 5.087e-17 38.7277 1713.6
DG0576 -32.7142 -10.1461 1.639e-16 1.329e-16 5.559e-17 52.0323 1714.28
DG0577 -32.3364 -10.3732 1.077e-16 8.465e-17 4.649e-17 85.224 1718.91
DG0578 -32.0815 -10.3888 9.837e-17 8.583e-17 3.581e-17 52.4193 1715.26
DG0579 -32.6006 -10.3799 1.810e-16 1.626e-16 6.829e-17 43.2434 1715.39
DG0580 -32.6376 -10.3404 1.398e-16 1.286e-16 5.709e-17 51.8782 1714.62
DG0581 -32.2602 -10.3307 8.675e-17 7.335e-17 3.262e-17 55.8445 1712.49
