Name X Y BlueF GreenF RedF Size RadialVelocity
DG0306 -5.1096 22.3776 6.274e-26 1.594e-27 8.209e-33 79.4052 1061.86
DG0307 -5.1846 21.7353 5.779e-26 1.550e-27 8.083e-33 72.2333 1062.9
DG0308 -5.1402 22.2661 2.962e-16 2.618e-16 1.171e-16 71.0604 1063.47
DG0309 -5.1526 21.6612 2.908e-16 2.270e-16 1.093e-16 76.6865 1061.97
DG0310 -5.3287 22.1176 6.555e-26 1.654e-27 9.604e-33 93.7184 1061.88
DG0311 -5.3684 22.0693 2.552e-16 1.970e-16 9.818e-17 152.2133 1063.76
DG0312 8.2995 2.7101 6.814e-16 4.948e-16 1.721e-16 181.1681 1217.5
DG0313 8.0871 2.8183 1.671e-16 1.325e-16 7.167e-17 68.7476 1218.04
DG0314 8.3875 2.5063 2.746e-16 2.391e-16 9.561e-17 71.5421 1218.06
DG0315 8.2940 2.6045 2.387e-16 1.937e-16 8.000e-17 59.737 1217.15
DG0316 8.0766 2.7844 2.337e-16 1.919e-16 7.910e-17 56.6909 1216.97
DG0317 8.1737 2.5983 2.809e-16 2.294e-16 1.052e-16 69.0401 1217.46
DG0318 8.3867 2.5579 2.617e-16 2.481e-16 1.054e-16 72.1291 1218.36
DG0319 8.5493 2.7800 7.711e-26 2.017e-27 1.005e-32 75.9669 1217.19
DG0320 8.0489 2.5846 2.681e-16 2.293e-16 1.043e-16 64.6013 1217.54
DG0321 8.2149 2.8228 2.386e-16 1.947e-16 8.321e-17 62.7612 1218.46
DG0322 8.0621 2.8291 2.690e-16 2.350e-16 1.079e-16 72.8458 1217.52
DG0323 8.0315 2.5739 2.327e-16 2.053e-16 9.219e-17 62.4583 1218.86
DG0324 8.0486 2.7433 1.694e-16 1.410e-16 6.348e-17 61.3767 1218.96
DG0325 -8.5887 11.4264 1.374e-15 9.314e-16 3.272e-16 168.643 862.45
DG0326 -8.3314 11.3481 3.620e-16 2.719e-16 1.234e-16 95.3989 861.97
DG0327 -8.6331 11.4099 4.574e-16 4.324e-16 1.997e-16 95.6281 863.76
DG0328 -8.7028 10.9435 3.053e-16 2.745e-16 1.197e-16 100.4108 862.07
DG0329 -8.5418 11.7189 3.371e-16 2.748e-16 1.165e-16 136.3059 860.57
DG0330 -8.8390 11.3914 5.202e-26 1.496e-27 6.876e-33 99.4184 861.01
DG0331 -8.5237 10.8726 5.490e-26 1.417e-27 6.743e-33 91.7924 862.09
DG0332 -8.5351 11.0583 4.540e-16 3.594e-16 1.653e-16 90.107 861.5
DG0333 -8.4111 11.1638 3.498e-16 2.496e-16 1.210e-16 153.4833 860.89
DG0334 -8.4358 11.1917 4.347e-16 3.644e-16 1.722e-16 85.7609 861.33
DG0335 -8.7843 11.5837 4.827e-16 3.502e-16 1.564e-16 84.2407 862.14
DG0336 -8.6691 11.4129 3.324e-16 2.893e-16 1.145e-16 201.2055 864.7
DG0337 -8.3490 11.3868 4.777e-16 3.808e-16 1.788e-16 94.458 864.05
DG0338 -8.5890 11.2769 3.256e-16 2.634e-16 1.213e-16 207.1055 863.51
DG0339 -8.4504 11.2888 4.644e-16 3.754e-16 1.570e-16 77.4476 863.24
DG0340 -8.5693 11.3629 5.259e-26 1.427e-27 6.797e-33 115.7946 863.08
DG0461 4.2986 -9.1713 1.200e-15 1.092e-15 4.973e-16 363.2929 455.99
DG0462 4.2438 -9.0752 6.229e-26 1.581e-27 8.256e-33 210.2907 455.76
DG0463 4.0371 -9.1824 5.549e-26 1.827e-27 8.102e-33 176.3499 456.22
DG0464 4.4490 -9.5798 1.645e-15 1.381e-15 5.591e-16 182.2385 456.7
DG0465 4.0691 -8.9625 1.936e-15 1.351e-15 6.387e-16 193.4977 456.03
DG0466 4.0351 -9.4087 1.574e-15 1.306e-15 5.477e-16 177.0297 456.38
DG0475 11.7328 7.5094 1.356e-16 1.156e-16 5.187e-17 99.5591 1519.64
DG0476 11.8317 7.5053 1.839e-16 1.561e-16 7.732e-17 62.3991 1519.7
DG0477 11.6683 7.4694 1.078e-25 2.675e-27 1.458e-32 60.0077 1518.98
DG0478 11.8257 7.5449 1.869e-16 1.545e-16 7.374e-17 54.7453 1519.58
DG0479 11.7613 7.5589 1.792e-16 1.482e-16 7.194e-17 57.9976 1519.84
DG0480 11.8286 7.5849 1.646e-16 1.510e-16 6.417e-17 47.0346 1519.1
DG0484 12.8401 -34.8506 6.292e-16 4.172e-16 1.578e-16 186.9681 1309.8
DG0485 13.2022 -34.9586 3.141e-16 2.531e-16 1.076e-16 55.8213 1311.97
DG0486 12.5896 -34.9774 8.374e-26 2.175e-27 1.128e-32 73.275 1309.96
DG0487 12.7183 -34.8867 2.215e-16 1.871e-16 8.303e-17 50.3537 1309.18
DG0488 12.6600 -34.6158 2.277e-16 1.690e-16 7.510e-17 62.7078 1310.6
DG0489 12.9346 -34.3024 1.980e-16 1.703e-16 7.499e-17 56.9813 1311.18
DG0490 12.7100 -35.0031 1.608e-16 1.458e-16 6.419e-17 103.6767 1310.64
DG0491 12.8496 -34.5883 2.306e-16 1.699e-16 7.446e-17 57.764 1310.17
DG0492 12.9400 -35.3052 2.452e-16 1.982e-16 9.087e-17 65.8701 1310.05
DG0493 13.0406 -34.5490 2.264e-16 2.036e-16 8.613e-17 66.9662 1312.14
DG0494 12.9613 -35.2009 2.133e-16 1.739e-16 8.245e-17 57.6058 1311.61
DG0495 13.3851 -34.8954 8.233e-26 1.912e-27 1.077e-32 67.8742 1309.93
DG0496 13.0100 -34.6520 3.285e-16 2.457e-16 1.056e-16 58.3674 1315.38
DG0497 12.7072 -34.0966 2.035e-16 1.846e-16 8.677e-17 58.7305 1313.71
DG0498 13.1220 -35.4128 3.081e-16 2.658e-16 9.900e-17 58.6018 1312.61
DG0499 12.8781 -35.2301 1.606e-16 1.303e-16 5.702e-17 90.3303 1311.69
DG0500 12.6338 -34.9156 2.268e-16 2.003e-16 8.888e-17 70.4887 1309.79
DG0501 12.5476 -34.4024 1.964e-16 1.719e-16 8.092e-17 59.9279 1313.69
DG0502 12.6242 -35.3352 2.153e-16 1.658e-16 7.899e-17 49.5303 1310.08
DG0503 13.3292 -34.9675 2.200e-16 1.731e-16 8.118e-17 52.4737 1313.58
DG0504 13.2451 -35.3569 8.599e-26 2.109e-27 1.092e-32 67.4309 1314.68
DG0534 19.8311 -22.4071 1.132e-16 1.038e-16 4.302e-17 113.5908 1579.18
DG0535 19.6794 -22.4426 1.694e-16 1.576e-16 6.818e-17 57.47 1578.77
DG0536 19.7636 -22.3762 1.211e-25 2.705e-27 1.395e-32 64.6765 1579.44
DG0537 19.8622 -22.4459 1.195e-16 9.592e-17 4.673e-17 70.0021 1577.83
DG0538 19.8815 -22.6171 1.754e-16 1.268e-16 6.201e-17 39.1106 1578.4
DG0539 19.9071 -22.3670 1.483e-16 1.337e-16 5.742e-17 47.7306 1578.24
DG0540 19.7902 -22.5094 2.392e-16 1.945e-16 7.322e-17 59.8781 1579.13
DG0541 19.8910 -22.4174 1.271e-25 3.313e-27 1.398e-32 62.3113 1580.29
DG0595 8.8966 -0.9236 9.305e-16 6.997e-16 2.062e-16 153.5046 1085.46
DG0596 8.8498 -0.6560 6.571e-26 1.789e-27 8.311e-33 80.9324 1084.83
DG0597 9.0977 -1.0679 3.091e-16 2.539e-16 1.109e-16 73.2292 1083.37
DG0598 8.6590 -0.9091 3.002e-16 2.556e-16 1.133e-16 69.3609 1083.27
DG0599 8.9942 -0.7063 3.085e-16 2.543e-16 1.152e-16 61.3243 1084.67
DG0600 8.8376 -1.0059 3.329e-16 2.827e-16 1.313e-16 73.3304 1083.34
DG0601 9.0278 -0.8940 3.325e-16 2.424e-16 1.134e-16 73.1292 1084.52
DG0602 8.9844 -1.1624 2.903e-16 2.425e-16 1.157e-16 60.0797 1083.23
DG0603 8.6924 -0.9821 2.936e-16 2.422e-16 1.082e-16 74.5965 1083.71
DG0604 8.7848 -0.7645 3.172e-16 2.124e-16 1.070e-16 64.5152 1084.56
DG0611 -5.3417 14.1372 3.665e-16 3.267e-16 1.396e-16 222.6463 727.49
