Name X Y BlueF GreenF RedF Parallax RadialVelocity Variable?
S002196 -43.6334 -34.6364 2.765e-24 1.054e-23 1.269e-22 0.0 80.56 0.0
S002197 -43.7576 -34.7567 6.279e-22 1.497e-21 6.660e-21 0.0 83.98 0.0
S002198 -43.6544 -34.668 2.768e-21 1.938e-21 6.852e-22 0.0 83.15 0.0
S002199 -43.617 -34.6403 1.202e-17 2.213e-17 5.620e-17 0.0 81.41 0.0
S002200 -43.6155 -34.6336 4.200e-17 8.835e-17 2.946e-16 0.0 81.21 0.0
S002201 -43.6246 -34.6581 7.015e-17 1.410e-16 4.403e-16 0.0 82.21 0.0
S002202 -43.639 -34.6536 5.616e-21 1.127e-20 3.427e-20 0.0 82.93 0.0
S002203 -43.6427 -34.6557 2.690e-20 4.338e-20 8.317e-20 0.0 83.06 0.0
S002204 -43.631 -34.6364 3.661e-23 9.863e-23 5.685e-22 0.0 80.62 0.0
S002205 -43.6604 -34.6634 2.645e-22 6.519e-22 3.138e-21 0.0 83.24 0.0
S002206 -43.6215 -34.6221 1.700e-19 2.342e-19 3.293e-19 0.0 80.99 0.0
S002207 -43.7533 -34.7586 1.075e-22 2.538e-22 1.101e-21 0.0 83.94 0.0
S002208 -43.7156 -34.7066 1.896e-22 4.081e-22 1.523e-21 0.0 83.85 0.0
S002209 -43.6772 -34.6878 6.168e-20 9.080e-20 1.438e-19 0.0 83.81 0.0
S002210 -43.7591 -34.7157 2.555e-24 9.402e-24 9.900e-23 0.0 83.04 0.0
S002211 -43.7349 -34.748 4.649e-23 1.344e-22 8.839e-22 0.0 83.91 0.0
S002212 -43.6894 -34.6951 3.943e-19 5.061e-19 6.269e-19 0.0 83.67 0.0
S002213 -43.5192 -34.5359 2.351e-19 3.080e-19 3.779e-19 0.0 79.67 0.0
S002214 -43.7219 -34.7533 3.652e-22 9.243e-22 4.750e-21 0.0 83.41 0.0
S002215 -43.5859 -34.5922 1.869e-22 4.657e-22 2.232e-21 0.0 80.06 0.0
S002216 -43.6285 -34.652 2.112e-18 2.214e-18 1.749e-18 0.0 82.68 0.0
S002217 -43.6643 -34.6491 2.145e-21 4.618e-21 1.614e-20 0.0 82.31 0.0
S002218 -43.5815 -34.6253 2.688e-21 5.099e-21 1.348e-20 0.0 81.29 0.0
S002219 -43.6353 -34.6514 2.074e-21 1.506e-21 5.688e-22 0.0 82.85 0.0
S002220 -43.6456 -34.6421 5.764e-13 3.997e-13 1.363e-13 0.0 82.96 0.0
S002221 -43.5978 -34.6022 4.147e-21 6.951e-21 1.421e-20 0.0 80.33 0.0
S002222 -43.6058 -34.608 1.971e-23 5.320e-23 2.932e-22 0.0 80.8 0.0
S002223 -43.6192 -34.6501 6.701e-21 1.201e-20 2.819e-20 0.0 81.87 0.0
S002224 -43.6582 -34.6841 5.060e-19 6.770e-19 9.289e-19 0.0 83.58 0.0
S002225 -43.6664 -34.7418 3.164e-20 4.986e-20 9.647e-20 0.0 82.53 0.0
S002226 -43.4652 -34.4743 3.104e-22 7.843e-22 3.746e-21 0.0 79.72 0.0
S002227 -43.5935 -34.6207 4.320e-19 5.507e-19 6.343e-19 0.0 80.47 0.0
S002228 -43.6258 -34.6402 1.328e-21 2.873e-21 1.001e-20 0.0 81.17 0.0
S002229 -43.6043 -34.6129 2.437e-17 4.116e-17 8.495e-17 0.0 80.6 0.0
S002230 -43.6253 -34.6403 3.908e-18 4.107e-18 3.139e-18 0.0 81.0 0.0
S002231 -43.5177 -34.547 1.057e-21 2.299e-21 8.298e-21 0.0 79.94 0.0
S002232 -43.6616 -34.6933 2.282e-19 2.871e-19 3.335e-19 0.0 82.97 0.0
S002233 -43.6384 -34.6368 3.352e-24 1.406e-23 1.939e-22 0.0 82.21 0.0
S002234 -43.6337 -34.6382 1.981e-21 4.223e-21 1.452e-20 0.0 81.71 0.0
S002235 -43.5989 -34.6222 6.096e-21 1.097e-20 2.690e-20 0.0 80.43 0.0
S002236 -43.6455 -34.6328 2.234e-23 6.734e-23 4.989e-22 0.0 81.84 0.0
S002237 -43.4883 -34.5328 4.195e-20 6.740e-20 1.268e-19 0.0 79.78 0.0
S002238 -43.646 -34.6613 1.188e-17 2.016e-17 4.287e-17 0.0 83.08 0.0
S002239 -43.6162 -34.6239 1.362e-21 2.594e-21 7.333e-21 0.0 80.91 0.0
S002240 -43.6468 -34.6271 3.306e-18 3.440e-18 2.760e-18 0.0 81.83 0.0
S002241 -43.6412 -34.6526 1.206e-21 2.741e-21 1.094e-20 0.0 82.93 0.0
S002242 -43.603 -34.6206 1.592e-17 1.456e-17 8.896e-18 0.0 80.55 0.0
S002243 -43.5207 -34.5315 2.972e-17 5.806e-17 1.748e-16 0.0 79.79 0.0
S002244 -43.6268 -34.6421 3.063e-22 7.077e-22 2.869e-21 0.0 80.95 0.0
S002245 -43.653 -34.6627 3.768e-20 5.736e-20 9.867e-20 0.0 82.88 0.0
S002246 -43.6849 -34.6906 3.727e-17 7.110e-17 2.040e-16 0.0 83.34 0.0
S002247 -43.6167 -34.6412 3.221e-19 4.122e-19 5.136e-19 0.0 80.89 0.0
S002248 -43.7209 -34.7366 2.000e-22 4.609e-22 1.883e-21 0.0 83.9 0.0
S002249 -43.6269 -34.6211 3.955e-20 6.562e-20 1.314e-19 0.0 81.34 0.0
S002250 -43.5385 -34.5541 2.541e-23 7.197e-23 4.428e-22 0.0 79.7 0.0
S002251 -43.6186 -34.6316 1.470e-23 4.467e-23 3.269e-22 0.0 80.67 0.0
S002252 -43.609 -34.6191 1.515e-20 2.698e-20 6.331e-20 0.0 80.63 0.0
