Name X Y BlueF GreenF RedF Size RadialVelocity
DG0394 38.2321 -25.2140 1.927e-25 5.319e-27 2.531e-32 45.8374 1860.4
DG0395 37.5096 -25.2022 1.651e-16 1.356e-16 5.879e-17 38.8026 1861.17
DG0396 37.8282 -25.1892 1.977e-25 5.170e-27 2.421e-32 48.7525 1859.51
DG0397 38.2362 -25.1050 1.275e-16 1.122e-16 4.811e-17 39.1451 1860.36
DG0398 38.2456 -24.9947 1.305e-16 1.114e-16 5.488e-17 50.9722 1864.36
DG0399 37.7871 -25.1871 1.063e-16 7.587e-17 3.723e-17 67.0348 1861.98
DG0400 38.0223 -25.3477 1.223e-16 9.523e-17 4.558e-17 44.8033 1860.2
DG0401 37.6768 -25.2672 1.273e-16 1.020e-16 4.350e-17 39.3445 1858.96
DG0402 38.0815 -25.0873 1.233e-16 1.164e-16 5.605e-17 41.5701 1863.37
DG0403 37.9324 -25.0461 8.031e-17 6.808e-17 3.358e-17 103.0957 1860.49
DG0436 -6.9573 10.2281 6.076e-16 5.467e-16 2.448e-16 125.1916 649.36
DG0481 7.1369 19.1934 1.038e-25 2.606e-27 1.217e-32 309.5932 295.21
DG0482 7.2627 19.1544 3.630e-15 2.836e-15 1.385e-15 243.2589 294.72
DG0519 1.6280 17.7889 3.568e-15 2.907e-15 1.241e-15 510.6832 287.61
DG0520 1.3646 17.5827 3.224e-15 2.720e-15 1.082e-15 329.4004 288.0
DG0521 2.0951 17.5449 4.441e-15 3.586e-15 1.595e-15 300.6419 286.55
DG0522 1.4407 18.3695 1.128e-25 2.894e-27 1.335e-32 267.8324 286.41
DG0523 1.2350 17.7607 1.114e-25 2.961e-27 1.351e-32 350.8698 287.17
DG0524 1.8613 17.1794 4.787e-15 4.019e-15 1.700e-15 276.8635 288.26
DG0656 -33.2704 -32.6141 8.675e-17 6.653e-17 3.606e-17 68.5736 1936.16
DG0657 -33.2133 -32.6718 2.071e-25 5.542e-27 2.910e-32 47.8825 1935.25
DG0658 -33.1777 -32.6391 1.027e-16 8.874e-17 4.167e-17 37.9645 1935.08
DG0659 -33.2764 -32.5599 1.204e-16 9.597e-17 4.738e-17 49.4561 1936.13
DG0660 -33.4372 -32.7089 1.546e-16 1.257e-16 5.178e-17 42.1891 1936.07
DG0661 -33.4210 -32.6259 2.075e-25 5.915e-27 2.665e-32 46.8533 1935.9
