Name X Y BlueF GreenF RedF Parallax RadialVelocity Variable?
S004208 43.6167 19.6813 5.040e-17 1.310e-16 6.708e-16 0.0 108.16 1.0
S004209 43.6734 19.7012 4.596e-23 1.136e-22 5.383e-22 0.0 107.82 0.0
S004210 43.659 19.6577 2.796e-17 2.468e-17 1.400e-17 0.0 106.73 0.0
S004211 43.6412 19.6898 5.117e-17 4.334e-17 2.181e-17 0.0 107.71 0.0
S004212 43.6698 19.681 5.793e-22 1.263e-21 4.558e-21 0.0 108.44 0.0
S004213 43.6544 19.7283 9.199e-19 1.011e-18 8.920e-19 0.0 106.15 0.0
S004214 43.6737 19.7002 4.413e-23 1.231e-22 7.830e-22 0.0 105.06 0.0
S004215 43.5965 19.6668 3.043e-21 2.150e-21 7.846e-22 0.0 106.49 0.0
S004216 43.5885 19.6831 4.505e-20 7.079e-20 1.299e-19 0.0 105.87 0.0
S004217 43.6607 19.6986 3.207e-17 2.822e-17 1.584e-17 0.0 106.11 0.0
S004218 43.6414 19.6691 1.456e-16 1.142e-16 4.928e-17 0.0 108.56 0.0
S004219 43.6266 19.6482 2.739e-20 4.267e-20 7.796e-20 0.0 104.93 0.0
S004220 43.6582 19.6936 1.208e-17 2.423e-17 7.352e-17 0.0 104.71 0.0
S004221 43.6351 19.711 3.208e-21 6.903e-21 2.435e-20 0.0 104.73 0.0
S004222 43.5739 19.6964 2.943e-17 4.803e-17 9.580e-17 0.0 108.92 0.0
S004223 43.6373 19.7387 2.794e-13 1.911e-13 6.252e-14 0.0 106.96 0.0
S004224 43.659 19.6295 6.009e-23 1.540e-22 7.719e-22 0.0 109.23 0.0
S004225 43.6222 19.639 6.883e-21 1.268e-20 3.154e-20 0.0 106.25 0.0
S004226 43.641 19.71 3.321e-22 7.191e-22 2.560e-21 0.0 104.82 0.0
S004227 43.5907 19.7037 7.220e-17 6.102e-17 3.188e-17 0.0 105.96 0.0
S004228 43.6622 19.7166 7.812e-19 9.935e-19 1.192e-18 0.0 106.06 0.0
S004229 43.703 19.7178 1.743e-22 4.321e-22 2.058e-21 0.0 108.52 0.0
S004230 43.6083 19.693 2.396e-23 6.719e-23 4.237e-22 0.0 107.45 0.0
S004231 43.6112 19.6913 7.611e-17 6.074e-17 2.889e-17 0.0 104.35 0.0
S004232 43.6437 19.649 1.250e-22 2.854e-22 1.094e-21 0.0 107.56 0.0
S004233 43.5972 19.6929 8.836e-17 7.230e-17 3.461e-17 0.0 106.42 0.0
S004234 43.6424 19.6649 1.483e-16 1.233e-16 5.944e-17 0.0 104.83 0.0
S004235 43.6593 19.7007 9.747e-19 1.148e-18 1.172e-18 0.0 105.18 0.0
S004236 43.585 19.708 9.993e-19 1.229e-18 1.378e-18 0.0 104.58 0.0
S004237 43.6806 19.6769 3.699e-20 6.051e-20 1.175e-19 0.0 106.16 1.0
S004238 43.6211 19.6398 1.632e-18 1.707e-18 1.361e-18 0.0 107.21 0.0
S004239 43.6307 19.7135 2.489e-23 7.395e-23 5.151e-22 0.0 106.9 0.0
