Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?
BottomS06230,42.8191,9.5657,7.163e-19,7.138e-19,5.152e-19,0.0,71.69,0
BottomS06231,43.2877,9.6342,4.712e-18,9.631e-18,3.053e-17,-0.0,67.76,0
BottomS06232,42.8317,9.5700,1.063e-19,1.218e-19,1.150e-19,0.001,71.58,0
BottomS06233,42.8112,9.5731,1.855e-17,1.448e-17,6.177e-18,-0.001,71.57,1
BottomS06234,42.8431,9.5770,1.065e-16,7.554e-17,2.824e-17,0.0,71.53,0
BottomS06235,42.8419,9.5836,2.202e-19,2.324e-19,1.912e-19,-0.0,71.47,0
BottomS06236,43.2597,9.6194,1.999e-18,3.453e-18,7.815e-18,0.001,68.12,0
BottomS06237,43.2588,9.6140,1.468e-19,1.691e-19,1.586e-19,0.0,68.2,0
BottomS06238,43.2715,9.6094,1.509e-19,1.763e-19,1.775e-19,-0.0,68.29,0
BottomS06239,42.8721,9.5983,2.889e-17,2.247e-17,9.965e-18,-0.0,71.01,1
BottomS61096,10.1724,44.2031,2.639e-16,1.813e-16,6.314e-17,0.049,-3.38,0
BottomS61121,15.2127,8.5139,3.240e-13,3.750e-13,3.689e-13,0.087,-1.04,0
BottomS61123,29.3806,10.3244,1.186e-15,7.913e-16,2.641e-16,0.095,-1.04,0
BottomS61216,11.2743,5.3108,1.314e-17,3.442e-17,1.871e-16,0.085,-0.61,0
BottomS61227,24.9273,-34.8080,6.434e-14,9.663e-14,1.601e-13,0.164,2.49,0
