Name X Y BlueF GreenF RedF Size RadialVelocity
DG0259 -24.4224 42.7222 3.937e-16 3.085e-16 1.345e-16 161.3844 775.05
DG0260 -24.6631 43.8191 5.253e-26 1.422e-27 6.827e-33 116.0639 774.01
DG0261 -24.4086 43.3078 8.825e-16 6.236e-16 2.654e-16 94.6192 772.96
DG0262 -24.3381 42.7088 5.413e-16 4.563e-16 2.005e-16 84.0134 774.76
DG0263 -24.8463 43.0862 5.496e-16 3.963e-16 1.845e-16 89.7449 770.84
DG0264 -24.2471 43.0718 4.735e-16 3.755e-16 1.513e-16 183.8539 773.06
DG0265 -24.4630 42.4978 5.177e-26 1.482e-27 6.234e-33 116.8668 772.95
DG0266 -23.7894 43.0514 5.782e-16 5.056e-16 1.946e-16 98.5202 774.62
DG0267 -24.5200 42.3138 5.486e-26 1.347e-27 6.959e-33 93.1807 773.27
DG0268 -23.8811 43.3592 5.473e-16 4.064e-16 2.029e-16 92.2899 772.96
DG0269 -23.7991 43.2249 8.729e-16 6.320e-16 2.525e-16 105.4464 773.41
DG0352 3.1579 15.7427 2.448e-15 2.002e-15 8.126e-16 478.313 319.73
DG0353 3.4440 16.1669 3.060e-15 2.584e-15 1.169e-15 243.634 319.05
DG0354 3.1481 15.7950 3.411e-15 2.692e-15 1.187e-15 278.6668 319.06
DG0355 2.8570 15.9924 8.338e-26 2.298e-27 1.043e-32 241.0245 319.32
DG0356 3.4489 15.7130 2.922e-15 2.403e-15 1.001e-15 231.3413 319.04
DG0357 3.5406 15.8675 2.610e-15 2.415e-15 9.734e-16 231.5015 318.51
DG0358 11.5953 -11.4184 5.446e-16 3.939e-16 1.358e-16 128.0268 1432.71
DG0359 11.6857 -11.5489 1.783e-16 1.344e-16 6.397e-17 49.2718 1431.15
DG0360 11.6815 -11.6049 1.001e-25 2.702e-27 1.408e-32 59.1019 1433.38
DG0361 11.5316 -11.2852 1.816e-16 1.457e-16 7.130e-17 49.7294 1434.35
DG0362 11.7301 -11.3091 2.684e-16 2.170e-16 8.374e-17 56.9415 1431.28
DG0363 11.7245 -11.5009 1.338e-16 1.029e-16 4.792e-17 55.9604 1429.13
DG0364 11.7005 -11.3814 1.661e-16 1.552e-16 6.829e-17 46.0062 1431.92
DG0365 11.5499 -11.5225 1.581e-16 1.466e-16 6.189e-17 49.9776 1431.1
DG0366 11.7325 -11.2591 1.059e-25 2.801e-27 1.382e-32 62.9614 1430.76
DG0367 11.7160 -11.4588 2.063e-16 1.678e-16 6.925e-17 53.863 1434.43
DG0368 11.4765 -11.4463 1.996e-16 1.577e-16 7.538e-17 51.0236 1432.21
DG0369 11.4109 -11.5327 1.913e-16 1.456e-16 6.742e-17 48.3908 1433.9
DG0425 42.4540 23.6689 2.845e-15 2.335e-15 1.081e-15 215.9202 374.73
DG0426 42.2698 23.7090 2.990e-15 2.370e-15 1.044e-15 230.0626 375.15
DG0427 43.3331 23.5296 3.014e-15 2.256e-15 1.089e-15 256.3534 374.6
DG0428 42.7185 23.2386 3.640e-15 2.864e-15 1.295e-15 266.6382 376.35
DG0449 24.5339 41.5801 1.160e-15 8.729e-16 3.116e-16 270.9694 885.25
DG0450 24.9130 41.3402 4.306e-16 3.640e-16 1.511e-16 84.2909 885.92
DG0451 24.7853 41.2716 5.959e-16 5.035e-16 2.118e-16 89.8254 885.21
DG0452 24.5385 41.7006 3.845e-16 3.251e-16 1.582e-16 80.2982 881.72
DG0453 24.3367 40.9899 4.695e-16 3.578e-16 1.841e-16 105.0275 885.64
DG0454 24.5929 42.0766 5.840e-26 1.505e-27 6.866e-33 101.2997 884.38
DG0455 24.5166 41.9790 4.526e-16 3.440e-16 1.461e-16 78.1094 883.7
DG0456 24.3990 41.3792 5.990e-16 5.099e-16 1.899e-16 104.1173 883.0
DG0457 24.8236 41.9011 5.672e-26 1.624e-27 6.905e-33 86.2087 885.08
